Incident ID,Year,Publishing Agency Name,Publishing Agency Unit,Agency Type Name,State Abbreviation,State Name,Division Name,Region Name,Incident Date,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
33471,1996,Westminster,,City,CA,California,Pacific,West,1996-08-29,Unknown,Not Specified,1,Intimidation,1,Specialty Store,Anti-Asian,Individual,S,S
33548,1996,Sacramento,,County,CA,California,Pacific,West,1996-09-01,Unknown,Not Specified,2,Destruction/Damage/Vandalism of Property,2,Residence/Home,Anti-Asian,Individual,S,S
38296,1996,Ceres,,City,CA,California,Pacific,West,1996-09-02,Unknown,Not Specified,2,Destruction/Damage/Vandalism of Property;Not Specified,1,Residence/Home,Anti-Asian,Individual,M,S
39792,1996,San Francisco,,City,CA,California,Pacific,West,1996-09-02,White,Not Specified,1,Aggravated Assault,1,Specialty Store,Anti-Asian,Individual,S,S
34500,1996,Pekin,,City,IL,Illinois,East North Central,Midwest,1996-09-03,White,Not Specified,2,Intimidation,2,Residence/Home,Anti-Asian,Individual,S,S
34502,1996,Pekin,,City,IL,Illinois,East North Central,Midwest,1996-09-03,White,Not Specified,2,Intimidation,2,Residence/Home,Anti-Asian,Individual,S,S
38777,1996,Fresno,,City,CA,California,Pacific,West,1996-09-05,White,Not Specified,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
33387,1996,University of California:,Los Angeles,University or College,CA,California,Pacific,West,1996-09-06,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
33866,1996,San Jose,,City,CA,California,Pacific,West,1996-09-06,White,Not Specified,1,Aggravated Assault,1,Commercial/Office Building,Anti-Asian,Individual,S,S
41413,1996,Boston,,City,MA,Massachusetts,New England,Northeast,1996-09-07,White,Not Specified,2,Intimidation,2,Field/Woods,Anti-Asian,Individual,S,S
40576,1996,Minneapolis,,City,MN,Minnesota,West North Central,Midwest,1996-09-10,Black or African American,Not Specified,4,Aggravated Assault,4,Residence/Home,Anti-Asian,Individual,S,S
38498,1996,Oakland,,City,CA,California,Pacific,West,1996-09-10,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
36918,1996,Fairborn,,City,OH,Ohio,East North Central,Midwest,1996-09-12,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
35114,1996,Boston,,City,MA,Massachusetts,New England,Northeast,1996-09-13,White,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
33347,1996,Pasadena,,City,CA,California,Pacific,West,1996-09-13,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Specialty Store,Anti-Asian,Business,S,S
40064,1996,Lakewood Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,1996-09-15,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
33682,1996,San Diego,,City,CA,California,Pacific,West,1996-09-16,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
38884,1996,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,1996-09-18,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
34232,1996,Palm Beach,,County,FL,Florida,South Atlantic,South,1996-09-19,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Commercial/Office Building,Anti-Asian,Other,S,S
33483,1996,University of California:,Irvine,University or College,CA,California,Pacific,West,1996-09-20,White,Not Specified,58,Intimidation,58,School/College,Anti-Asian,Individual,S,S
33342,1996,Norwalk,,City,CA,California,Pacific,West,1996-09-21,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
34578,1996,Iowa City,,City,IA,Iowa,West North Central,Midwest,1996-09-22,Multiple,Not Specified,1,Aggravated Assault,1,Bar/Nightclub,Anti-Asian,Individual,S,S
37716,1996,Virginia Polytechnic Institute and State University,,University or College,VA,Virginia,South Atlantic,South,1996-09-22,Unknown,Not Specified,1,Simple Assault,1,School/College,Anti-Asian,Individual,S,S
38688,1996,Englewood,,City,CO,Colorado,Mountain,West,1996-09-22,Unknown,Not Specified,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
37154,1996,Philadelphia,,City,PA,Pennsylvania,Middle Atlantic,Northeast,1996-09-23,White,Not Specified,1,Simple Assault,1,Restaurant,Anti-Asian,Individual,S,S
38922,1996,Arcadia,,City,CA,California,Pacific,West,1996-09-23,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
40578,1996,Minneapolis,,City,MN,Minnesota,West North Central,Midwest,1996-09-25,American Indian or Alaska Native,Not Specified,1,Intimidation,1,Commercial/Office Building,Anti-Asian,Individual,S,S
32846,1996,Phoenix,,City,AZ,Arizona,Mountain,West,1996-09-26,Unknown,Not Specified,1,Intimidation,1,Commercial/Office Building,Anti-Asian,Individual,S,S
40030,1996,Shelby Township,,City,MI,Michigan,East North Central,Midwest,1996-09-28,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
34562,1996,Purdue University,,University or College,IN,Indiana,East North Central,Midwest,1996-09-29,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
41264,1996,Kent,,City,WA,Washington,Pacific,West,1996-09-30,White,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
41279,1996,SeaTac,,City,WA,Washington,Pacific,West,1996-09-30,Unknown,Not Specified,1,Intimidation,1,Commercial/Office Building,Anti-Asian,Individual,S,S
35014,1996,Lowell,,City,MA,Massachusetts,New England,Northeast,1996-10-01,White,Not Specified,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
37793,1996,Burien,,City,WA,Washington,Pacific,West,1996-10-01,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
41182,1996,King,,County,WA,Washington,Pacific,West,1996-10-01,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
35695,1996,Belton,,City,MO,Missouri,West North Central,Midwest,1996-10-02,White,Not Specified,2,Intimidation,2,Residence/Home,Anti-Asian,Individual,S,S
37313,1996,Providence,,City,RI,Rhode Island,New England,Northeast,1996-10-02,Unknown,Not Specified,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
34722,1996,Portland,,City,ME,Maine,New England,Northeast,1996-10-03,White,Not Specified,1,Intimidation,1,School/College,Anti-Asian,Individual,S,S
34723,1996,Portland,,City,ME,Maine,New England,Northeast,1996-10-03,White,Not Specified,1,Intimidation,1,School/College,Anti-Asian,Individual,S,S
35511,1996,Inver Grove Heights,,City,MN,Minnesota,West North Central,Midwest,1996-10-04,Black or African American,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
35748,1996,Branson,,City,MO,Missouri,West North Central,Midwest,1996-10-06,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
40418,1996,Portland,,City,OR,Oregon,Pacific,West,1996-10-06,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
